ticker,name,price,close_raw,change_pct,rec_score,mfc_score,low_float,short_squeeze,ai_momentum,rsi,phase,mfc_breakdown,short_interest_adj,short_interest_change,short_interest_ratio,rating,advice_short,stoch_golden,obv_trend,bollinger,ma_alignment,deviation_pct,scalping_bonus,eps_growth,revenue_growth,gross_margin,operating_margin,free_cashflow,tags,factors,ai_prediction,ai_confidence,gap_pct,volume_surge,near_52w_high,premarket_active
005930.KS,삼성전자,"270,500원",270500.0,-8.61,67.2,78.0,False,False,False,62.4,Markup,"{'trend': 100, 'momentum': 82.9, 'flow': 93.0, 'volatility': 23, 'structure': 65.0, 'momentum_quality': 100, 'insider': 50.0}",2.0,,0.0,Tactical Overweight,매수 우위 (강력 매수 - 다중지표 강세 컨플루언스 확인),False,상승,상단,정배열,11.0,5.0,4.888,0.693,0.47674,0.42718,16767439077376.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '🔻 갭다운 -8.6% (반등?)', 'cls': 'neutral'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 78, 'wyckoff': 80, 'stochastic': 39.665864426978814, 'obv': 75, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 83.4, 'base_tech': np.float64(70.5)}",+0.00%,0.5,0,0,False,False
032830.KS,삼성생명,"310,000원",310000.0,-6.06,66.6,74.6,False,False,False,67.0,Markup,"{'trend': 100, 'momentum': 90.7, 'flow': 73.0, 'volatility': 23, 'structure': 65.0, 'momentum_quality': 100, 'insider': 50.0}",2.0,,0.0,Tactical Overweight,매수 우위 (강력 매수 - 다중지표 강세 컨플루언스 확인),True,상승,상단,정배열,13.2,5.0,1.87,,0.58278,-0.83023,-1122392997888.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '🔻 갭다운 -6.1% (반등?)', 'cls': 'neutral'}, {'text': '📈 EPS 반등/턴어라운드', 'cls': 'positive'}, {'text': '🔴 영업손실(-83%)', 'cls': 'negative'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'Stoch 골든크로스', 'cls': 'positive'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 75, 'wyckoff': 80, 'stochastic': 50.23291311909453, 'obv': 75, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 80.8, 'base_tech': np.float64(70.5)}",+0.00%,0.5,0,0,False,False
000270.KS,기아,"168,000원",168000.0,-5.67,66.5,70.0,False,False,False,55.4,Markup,"{'trend': 100, 'momentum': 77.3, 'flow': 26.0, 'volatility': 53, 'structure': 80.0, 'momentum_quality': 100, 'insider': 50.0}",2.0,,0.0,Core Holding,매수 우위 (안정적 상승 추세 안착),False,하락,상단,정배열,4.3,5.0,-0.154,0.035,0.19638,0.065560006,1879376658432.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '🔻 갭다운 -5.7% (반등?)', 'cls': 'neutral'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 70, 'wyckoff': 80, 'stochastic': 45.58401361494916, 'obv': 25, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(62.4)}",+0.00%,0.5,0,0,False,False
005935.KS,삼성전자우,"179,400원",179400.0,-7.38,66.2,78.1,False,False,False,58.9,Markup,"{'trend': 100, 'momentum': 78.6, 'flow': 87.0, 'volatility': 23, 'structure': 80.0, 'momentum_quality': 100, 'insider': 50.0}",2.0,,0.0,Tactical Overweight,매수 우위 (강력 매수 - 다중지표 강세 컨플루언스 확인),False,상승,상단,정배열,6.6,5.0,4.888,0.693,0.47674,0.42718,16767439077376.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '🔻 갭다운 -7.4% (반등?)', 'cls': 'neutral'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 78, 'wyckoff': 80, 'stochastic': 37.370970422680365, 'obv': 75, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 74.0, 'base_tech': np.float64(70.2)}",+0.00%,0.5,0,0,False,False
000660.KS,SK하이닉스,"1,819,000원",1819000.0,-7.66,65.8,67.3,False,False,False,71.8,Accumulation,"{'trend': 100, 'momentum': 77.1, 'flow': 50.0, 'volatility': 23, 'structure': 60.0, 'momentum_quality': 100, 'insider': 50.0}",2.0,,0.0,Aggressive Buy,매수 우위 (분할 매수 - 바닥 확인 후 모멘텀 턴어라운드),False,하락,상단,정배열,23.8,5.0,3.976,1.981,0.59647,0.71535003,,"[{'text': '매집 구간', 'cls': 'positive'}, {'text': '🔻 갭다운 -7.7% (반등?)', 'cls': 'neutral'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 67, 'wyckoff': 100, 'stochastic': 48.712080427634845, 'obv': 25, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 90.0, 'base_tech': np.float64(65.4)}",+0.00%,0.5,0,0,False,False
028260.KS,삼성물산,"396,500원",396500.0,-10.29,65.8,71.2,False,False,False,60.0,Markup,"{'trend': 100, 'momentum': 81.4, 'flow': 53.0, 'volatility': 23, 'structure': 80.0, 'momentum_quality': 100, 'insider': 50.0}",2.0,,0.0,Tactical Overweight,매수 우위 (강력 매수 - 다중지표 강세 컨플루언스 확인),False,하락,상단,정배열,12.5,5.0,0.649,0.084,0.18868999,0.074939996,-47558209536.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '🔻 갭다운 -10.3% (반등?)', 'cls': 'neutral'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 71, 'wyckoff': 80, 'stochastic': 36.86594202898551, 'obv': 25, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 93.4, 'base_tech': np.float64(61.7)}",+0.00%,0.5,0,0,False,False
402340.KS,SK스퀘어,"1,098,000원",1098000.0,-6.23,64.7,69.5,False,False,False,69.5,Markup,"{'trend': 100, 'momentum': 86.9, 'flow': 45.0, 'volatility': 23, 'structure': 65.0, 'momentum_quality': 100, 'insider': 50.0}",2.0,,0.0,Tactical Overweight,매수 우위 (강력 매수 - 다중지표 강세 컨플루언스 확인),False,하락,상단,정배열,20.2,5.0,3.342,1.081,0.97103995,-0.11807,5771118510080.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '🔻 갭다운 -6.2% (반등?)', 'cls': 'neutral'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 70, 'wyckoff': 80, 'stochastic': 44.45591688431023, 'obv': 25, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 83.5, 'base_tech': np.float64(62.1)}",+0.00%,0.5,0,0,False,False
000810.KS,삼성화재,"554,000원",554000.0,2.97,64.5,74.9,False,False,False,73.4,Markup,"{'trend': 100, 'momentum': 69.4, 'flow': 73.0, 'volatility': 33, 'structure': 80.0, 'momentum_quality': 100, 'insider': 50.0}",2.0,,0.0,Tactical Overweight,매수 우위 (강력 매수 - 다중지표 강세 컨플루언스 확인),True,상승,상단 돌파,정배열,14.2,10.0,0.133,0.049,0.20955,0.072270006,-4880330653696.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '⚡ 갭업 +3.0%', 'cls': 'positive'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'Stoch 골든크로스', 'cls': 'positive'}, {'text': 'OBV 상승', 'cls': 'positive'}]","{'mfc': 75, 'wyckoff': 80, 'stochastic': 60.17265767809473, 'obv': 75, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(71.8)}",N/A,,0,0,False,False
329180.KS,HD현대중공업,"640,000원",640000.0,-4.62,63.5,65.6,False,False,False,52.3,Markup,"{'trend': 100, 'momentum': 43.3, 'flow': 87.0, 'volatility': 18, 'structure': 80.0, 'momentum_quality': 17.5, 'insider': 50.0}",2.0,,0.0,Tactical Overweight,매수 우위 (강력 매수 - 다중지표 강세 컨플루언스 확인),False,상승,하단,정배열,-0.7,5.0,0.335,0.296,0.16833,0.1106,2392049057792.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '🔻 갭다운 -4.6% (반등?)', 'cls': 'neutral'}, {'text': '⚠️ MACD 하향', 'cls': 'negative'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 66, 'wyckoff': 80, 'stochastic': 0.5349669668756007, 'obv': 75, 'bollinger': 100, 'momentum_quality': 17.5, 'regime_score': 50, 'rr_score': 85.4, 'base_tech': np.float64(57.0)}",+0.00%,0.5,0,0,False,False
009150.KS,삼성전기,"1,010,000원",1010000.0,-1.37,61.2,70.7,False,False,False,81.0,Markup,"{'trend': 100, 'momentum': 57.2, 'flow': 93.0, 'volatility': 23, 'structure': 65.0, 'momentum_quality': 100, 'insider': 50.0}",2.0,,0.0,Tactical Overweight,매수 우위 (강력 매수 - 다중지표 강세 컨플루언스 확인),False,상승,상단,정배열,18.7,0.0,0.069,0.164,0.20128,0.08253,-1814668544.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 71, 'wyckoff': 80, 'stochastic': 41.255181866844524, 'obv': 75, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 40, 'rr_score': 100, 'base_tech': np.float64(68.1)}",+0.00%,0.5,0,0,False,False
