ticker,name,price,close_raw,change_pct,rec_score,mfc_score,low_float,short_squeeze,ai_momentum,rsi,phase,mfc_breakdown,short_interest_adj,short_interest_change,short_interest_ratio,rating,advice_short,stoch_golden,obv_trend,bollinger,ma_alignment,deviation_pct,scalping_bonus,adl_trend,adl_val,eps_growth,revenue_growth,gross_margin,operating_margin,free_cashflow,tags,factors,ai_prediction,ai_confidence,gap_pct,volume_surge,volume_surge_projected,near_52w_high,premarket_active
009150.KS,삼성전기,"1,061,000원",1061000.0,7.5,71.4,77.2,False,False,False,77.3,Markup,"{'trend': 100, 'momentum': 72.0, 'flow': 100, 'volatility': 23, 'structure': 80.0, 'momentum_quality': 100, 'insider': 50.0}",2.0,,0.0,Tactical Overweight,매수 우위 (강력 매수 - 다중지표 강세 컨플루언스 확인),False,상승,상단,정배열,17.2,10.0,상승,14508745.961028751,0.069,0.164,0.20128,0.08253,-1814668544.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '⚡ 갭업 +7.5%', 'cls': 'positive'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 77, 'wyckoff': 80, 'stochastic': 47.367512633867186, 'obv': 75, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 74.8, 'base_tech': np.float64(71.1)}",+0.00%,0.5,0,0,0,False,False
028260.KS,삼성물산,"370,500원",370500.0,-2.63,65.8,67.3,False,False,False,52.7,Accumulation,"{'trend': 100, 'momentum': 54.7, 'flow': 57.0, 'volatility': 23, 'structure': 75.0, 'momentum_quality': 100, 'insider': 50.0}",2.0,,0.0,Aggressive Buy,매수 우위 (분할 매수 - 바닥 확인 후 모멘텀 턴어라운드),False,하락,상단,정배열,1.6,5.0,상승,6545793.918819782,0.649,0.084,0.18868999,0.074939996,-47558209536.0,"[{'text': '매집 구간', 'cls': 'positive'}, {'text': '🔻 갭다운 -2.6% (반등?)', 'cls': 'neutral'}, {'text': '⚠️ MACD 하향', 'cls': 'negative'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 67, 'wyckoff': 100, 'stochastic': 32.865338164251185, 'obv': 25, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 93.4, 'base_tech': np.float64(63.5)}",+0.00%,0.5,0,0,0,False,False
012450.KS,한화에어로스페이스,"1,249,000원",1249000.0,-2.88,63.9,48.8,False,False,False,39.6,Accumulation,"{'trend': 48.0, 'momentum': 46.1, 'flow': 43.0, 'volatility': 38, 'structure': 80.0, 'momentum_quality': 3.5, 'insider': 50.0}",2.0,,0.0,Tactical Hold,매도 우위 (하방 경계 - 바닥 탐색 진행 중),True,상승,하단,혼합,-7.7,5.0,하락,-683487.6568213728,-0.657,0.745,0.20352,0.095249996,1041567449088.0,"[{'text': '매집 구간', 'cls': 'positive'}, {'text': '🔻 갭다운 -2.9% (반등?)', 'cls': 'neutral'}, {'text': '🚨 EPS 급락(-66%)', 'cls': 'negative'}, {'text': '🚀 매출 고성장', 'cls': 'positive'}, {'text': '🎯 시그널 컨플루언스 (3)', 'cls': 'positive'}, {'text': 'Stoch 골든크로스', 'cls': 'positive'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': 'RSI 상승 다이버전스', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 49, 'wyckoff': 100, 'stochastic': 61.736253127475564, 'obv': 75, 'bollinger': 100, 'momentum_quality': 3.5, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(60.0)}",+0.00%,0.5,0,0,0,False,False
329180.KS,HD현대중공업,"636,000원",636000.0,6.35,62.8,43.0,False,False,False,51.9,Distribution,"{'trend': 40.0, 'momentum': 49.2, 'flow': 43.0, 'volatility': 43, 'structure': 20.0, 'momentum_quality': 31.2, 'insider': 50.0}",2.0,,0.0,Underweight,매도 우위 (투매 경고 - 강한 하방 압력),False,하락,하단,데드크로스 진행,-3.7,10.0,하락,2660445.5253499732,0.335,0.296,0.16833,0.1106,2392049057792.0,"[{'text': '분산 경고', 'cls': 'negative'}, {'text': '⚡ 갭업 +6.4%', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 43, 'wyckoff': 30, 'stochastic': 46.228566902410606, 'obv': 25, 'bollinger': 100, 'momentum_quality': 31.2, 'regime_score': 50, 'rr_score': 81.2, 'base_tech': np.float64(41.7)}",+0.00%,0.5,0,0,0,False,False
005930.KS,삼성전자,"276,000원",276000.0,0.18,61.4,79.8,False,False,False,62.7,Markup,"{'trend': 100, 'momentum': 84.1, 'flow': 100, 'volatility': 23, 'structure': 65.0, 'momentum_quality': 100, 'insider': 50.0}",2.0,,0.0,Tactical Overweight,매수 우위 (강력 매수 - 다중지표 강세 컨플루언스 확인),False,상승,상단,정배열,9.1,0.0,상승,151543472.1587839,4.867,0.692,0.47678003,0.42751,67568203202560.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 80, 'wyckoff': 80, 'stochastic': 46.226892736417184, 'obv': 75, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 70.3, 'base_tech': np.float64(71.9)}",+0.00%,0.5,0,0,0,False,False
005380.KS,현대차,"592,000원",592000.0,-1.99,61.0,58.7,False,False,False,50.9,Accumulation,"{'trend': 100, 'momentum': 54.8, 'flow': 17.0, 'volatility': 23, 'structure': 75.0, 'momentum_quality': 100, 'insider': 50.0}",2.0,,0.0,Aggressive Buy,매수 우위 (분할 매수 - 바닥 확인 후 모멘텀 턴어라운드),False,하락,하단,정배열,-0.0,0.0,하락,-415522.97466416896,-0.261,0.034,0.17708,0.05475,,"[{'text': '매집 구간', 'cls': 'positive'}, {'text': '⚠️ EPS 감소(-26%)', 'cls': 'negative'}, {'text': '⚠️ MACD 하향', 'cls': 'negative'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 59, 'wyckoff': 100, 'stochastic': 7.300143737014665, 'obv': 25, 'bollinger': 100, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(65.4)}",+0.00%,0.5,0,0,0,False,False
000660.KS,SK하이닉스,"1,745,000원",1745000.0,0.0,60.3,66.0,False,False,False,64.9,Accumulation,"{'trend': 100, 'momentum': 83.1, 'flow': 35.0, 'volatility': 23, 'structure': 60.0, 'momentum_quality': 100, 'insider': 50.0}",2.0,,0.0,Aggressive Buy,매수 우위 (분할 매수 - 바닥 확인 후 모멘텀 턴어라운드),False,하락,상단,정배열,11.6,0.0,하락,6105059.020595351,3.976,1.981,0.59647,0.71535003,,"[{'text': '매집 구간', 'cls': 'positive'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 66, 'wyckoff': 100, 'stochastic': 33.83543527831751, 'obv': 25, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 90.9, 'base_tech': np.float64(63.2)}",+0.00%,0.5,0,0,0,False,False
000270.KS,기아,"149,400원",149400.0,-3.55,59.4,48.0,False,False,False,41.7,Distribution,"{'trend': 98.0, 'momentum': 40.8, 'flow': 3.0, 'volatility': 38, 'structure': 30.0, 'momentum_quality': 29.0, 'insider': 50.0}",2.0,,0.0,Underweight,매도 우위 (투매 경고 - 강한 하방 압력),False,하락,하단,정배열,-7.1,5.0,하락,-219078.19039491366,-0.154,0.035,0.19638,0.065560006,1879376658432.0,"[{'text': '분산 경고', 'cls': 'negative'}, {'text': '🔻 갭다운 -3.6% (반등?)', 'cls': 'neutral'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 48, 'wyckoff': 30, 'stochastic': 4.030133918969341, 'obv': 25, 'bollinger': 100, 'momentum_quality': 29.0, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(38.0)}",+0.00%,0.5,0,0,0,False,False
402340.KS,SK스퀘어,"1,029,000원",1029000.0,0.88,59.2,62.3,False,False,False,60.8,Accumulation,"{'trend': 100, 'momentum': 57.7, 'flow': 35.0, 'volatility': 23, 'structure': 60.0, 'momentum_quality': 100, 'insider': 50.0}",2.0,,0.0,Aggressive Buy,매수 우위 (분할 매수 - 바닥 확인 후 모멘텀 턴어라운드),False,하락,상단,정배열,6.4,0.0,하락,6198319.9635689175,3.342,1.081,0.97103995,-0.11807,5771118510080.0,"[{'text': '매집 구간', 'cls': 'positive'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 62, 'wyckoff': 100, 'stochastic': 28.629322894932177, 'obv': 25, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 87.4, 'base_tech': np.float64(61.2)}",+0.00%,0.5,0,0,0,False,False
034730.KS,SK,"526,000원",526000.0,1.35,58.9,76.0,False,False,False,64.5,Markup,"{'trend': 100, 'momentum': 66.9, 'flow': 100, 'volatility': 23, 'structure': 65.0, 'momentum_quality': 100, 'insider': 50.0}",2.0,,0.0,Tactical Overweight,매수 우위 (강력 매수 - 다중지표 강세 컨플루언스 확인),True,상승,상단,정배열,9.5,0.0,상승,173979.33884242637,,0.012,0.07779,0.00959,2687812239360.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'Stoch 골든크로스', 'cls': 'positive'}, {'text': 'OBV 상승', 'cls': 'positive'}]","{'mfc': 76, 'wyckoff': 80, 'stochastic': 50.90424372408705, 'obv': 75, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 76.2, 'base_tech': np.float64(71.1)}",N/A,,0,0,0,False,False
