ticker,name,price,close_raw,sector,industry,change_pct,rec_score,mfc_score,held_percent_insiders,low_float,short_squeeze,ai_momentum,rsi,phase,mfc_breakdown,short_interest_adj,short_interest_change,short_interest_ratio,rating,advice_short,stoch_golden,obv_trend,bollinger,ma_alignment,deviation_pct,scalping_bonus,adl_trend,adl_val,eps_growth,revenue_growth,gross_margin,operating_margin,free_cashflow,tags,factors,audit_info,ai_prediction,actionScore,recommendation,predictedResult,ai_confidence,gap_pct,volume_surge,volume_surge_projected,near_52w_high,premarket_active
006800.KS,MIRAE ASSET SEC,"36,200원",36200.0,Financial Services,Capital Markets,6.78,83.8,50.8,0.08744001,False,False,False,45.8,Accumulation,"{'trend': 5, 'momentum': 69.2, 'flow': 77.0, 'volatility': 23, 'structure': 90.0, 'momentum_quality': 40.3, 'insider': 50.0}",2.0,,0.0,Aggressive Buy,매수 우위 (🔔 Wyckoff Spring 감지 — 세력 매집 완료 후 상승 전환 임박),True,상승,상단,역배열,0.4,10.0,상승,-49001291.53508369,2.85,1.854,0.9611,0.35957,,"[{'text': '매집 구간', 'cls': 'positive'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'Stoch 골든크로스', 'cls': 'positive'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📈 EPS 반등/턴어라운드', 'cls': 'positive'}, {'text': '🚀 매출 고성장', 'cls': 'positive'}]","{'mfc': 51, 'wyckoff': 100, 'stochastic': 63.72964977916073, 'obv': 75, 'bollinger': 0, 'momentum_quality': 40.3, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(58.5)}","{'base_tech_score': np.float64(58.5), 'insider_bonus': 0.0, 'deviation_penalty': 0.0, 'blowoff_penalty': 0.0, 'short_excessive_penalty': 0.0, 'weekly_penalty': 0.0, 'resistance_penalty': 0.0, 'rr_penalty': 0.0, 'cmf_confluence_val': 0.0, 'penny_penalty': 0.0, 'penny_non_acc_penalty': 0.0, 'scalping_bonus': 10.0, 'fund_penalty': -25.0, 'macd_reversal_bonus': 0.0, 'sector_rs_bonus': 0.0, 'confluence_bonus': 0.0, 'short_squeeze_bonus': 0.0, 'ai_momentum_bonus': 0.0}",N/A,,,,,6.93,0.58,0.62,False,False
079550.KS,LIG Defense&Aerospace,"824,000원",824000.0,Industrials,Aerospace & Defense,11.2,83.0,66.8,0.38371,False,False,False,57.1,Markup,"{'trend': 60.0, 'momentum': 92.6, 'flow': 87.0, 'volatility': 23, 'structure': 80.0, 'momentum_quality': 78.0, 'insider': 50.0}",2.0,,0.0,Tactical Overweight,매수 우위 (강력 매수 - 다중지표 강세 컨플루언스 확인),False,상승,상단 돌파,골든크로스 진행,14.9,10.0,상승,-3498482.5556881726,0.699,0.287,0.16256,0.14649999,-1187668164608.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📈 EPS 반등/턴어라운드', 'cls': 'positive'}, {'text': '🚀 매출 고성장', 'cls': 'positive'}]","{'mfc': 67, 'wyckoff': 80, 'stochastic': 43.57959920033377, 'obv': 75, 'bollinger': 0, 'momentum_quality': 78.0, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(63.7)}","{'base_tech_score': np.float64(63.7), 'insider_bonus': 0.0, 'deviation_penalty': 0.0, 'blowoff_penalty': 0.0, 'short_excessive_penalty': 0.0, 'weekly_penalty': 0.0, 'resistance_penalty': 0.0, 'rr_penalty': 0.0, 'cmf_confluence_val': 0.0, 'penny_penalty': 0.0, 'penny_non_acc_penalty': 0.0, 'scalping_bonus': 10.0, 'fund_penalty': -20.0, 'macd_reversal_bonus': 0.0, 'sector_rs_bonus': 0.0, 'confluence_bonus': 0.0, 'short_squeeze_bonus': 0.0, 'ai_momentum_bonus': 0.0}",N/A,,,,,11.34,0.83,0.88,False,False
068270.KS,Celltrion,"200,500원",200500.0,Healthcare,Biotechnology,0.6,83.0,70.5,0.36183998,False,False,False,69.1,Markup,"{'trend': 65.0, 'momentum': 100.0, 'flow': 77.0, 'volatility': 33, 'structure': 80.0, 'momentum_quality': 98.2, 'insider': 50.0}",2.0,,0.0,Tactical Overweight,매수 우위 (강력 매수 - 다중지표 강세 컨플루언스 확인),True,상승,상단 돌파,혼합,10.5,0.0,상승,-6715949.880831127,2.185,0.36,0.60687,0.28111,20776984576.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'Stoch 골든크로스', 'cls': 'positive'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📈 EPS 반등/턴어라운드', 'cls': 'positive'}, {'text': '🚀 매출 고성장', 'cls': 'positive'}]","{'mfc': 70, 'wyckoff': 80, 'stochastic': 60.41821570197513, 'obv': 75, 'bollinger': 0, 'momentum_quality': 98.2, 'regime_score': 50, 'rr_score': 47.6, 'base_tech': np.float64(70.1)}","{'base_tech_score': np.float64(70.1), 'insider_bonus': 0.0, 'deviation_penalty': 0.0, 'blowoff_penalty': 0.0, 'short_excessive_penalty': 0.0, 'weekly_penalty': 0.0, 'resistance_penalty': 0.0, 'rr_penalty': 0.0, 'cmf_confluence_val': 0.0, 'penny_penalty': 0.0, 'penny_non_acc_penalty': 0.0, 'scalping_bonus': 0.0, 'fund_penalty': -25.0, 'macd_reversal_bonus': 0.0, 'sector_rs_bonus': 0.0, 'confluence_bonus': 0.0, 'short_squeeze_bonus': 0.0, 'ai_momentum_bonus': 0.0}",N/A,,,,,0.35,0.63,0.67,False,False
138040.KS,Meritz Financial,"123,600원",123600.0,Financial Services,Capital Markets,-2.14,79.5,74.1,0.58824,False,False,False,58.1,Markup,"{'trend': 65.0, 'momentum': 84.1, 'flow': 92.0, 'volatility': 73, 'structure': 80.0, 'momentum_quality': 86.9, 'insider': 50.0}",2.0,,0.0,Tactical Overweight,매수 우위 (강력 매수 - 다중지표 강세 컨플루언스 확인),True,상승,상단,혼합,3.4,5.0,상승,-3630331.7769692778,0.094,0.513,0.0,0.50723,,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': '🔥 Accumulation Confluence (CMF+ADL)', 'cls': 'positive'}, {'text': 'Stoch 골든크로스', 'cls': 'positive'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '🚀 매출 고성장', 'cls': 'positive'}]","{'mfc': 74, 'wyckoff': 80, 'stochastic': 69.05715845139426, 'obv': 75, 'bollinger': 0, 'momentum_quality': 86.9, 'regime_score': 50, 'rr_score': 58.6, 'base_tech': np.float64(70.7)}","{'base_tech_score': np.float64(70.7), 'insider_bonus': 0.0, 'deviation_penalty': 0.0, 'blowoff_penalty': 0.0, 'short_excessive_penalty': 0.0, 'weekly_penalty': 0.0, 'resistance_penalty': 0.0, 'rr_penalty': 0.0, 'cmf_confluence_val': 0.0, 'penny_penalty': 0.0, 'penny_non_acc_penalty': 0.0, 'scalping_bonus': 5.0, 'fund_penalty': -10.0, 'macd_reversal_bonus': 0.0, 'sector_rs_bonus': 0.0, 'confluence_bonus': 0.0, 'short_squeeze_bonus': 0.0, 'ai_momentum_bonus': 0.0}",N/A,,,,,-2.06,0.39,0.42,False,False
010130.KS,KOREA ZINC,"1,231,000원",1231000.0,Basic Materials,Other Industrial Metals & Mining,11.3,72.8,71.9,0.74599,True,False,False,60.8,Markup,"{'trend': 86.0, 'momentum': 96.2, 'flow': 94.0, 'volatility': 3, 'structure': 65.0, 'momentum_quality': 100, 'insider': 50.0}",2.0,,0.0,Tactical Overweight,매수 우위 (강력 매수 - 다중지표 강세 컨플루언스 확인),False,상승,상단 돌파,골든크로스 진행,19.1,10.0,상승,-15411.644735877828,1.182,0.584,0.12465,0.12287,-1099447795712.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '💎 품절주 (Low Float)', 'cls': 'positive'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📈 EPS 반등/턴어라운드', 'cls': 'positive'}, {'text': '🚀 매출 고성장', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 72, 'wyckoff': 80, 'stochastic': 39.20558608058606, 'obv': 75, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(68.3)}","{'base_tech_score': np.float64(68.3), 'insider_bonus': 0.0, 'deviation_penalty': 0.0, 'blowoff_penalty': 0.0, 'short_excessive_penalty': 0.0, 'weekly_penalty': 0.0, 'resistance_penalty': 0.0, 'rr_penalty': 0.0, 'cmf_confluence_val': 0.0, 'penny_penalty': 0.0, 'penny_non_acc_penalty': 0.0, 'scalping_bonus': 10.0, 'fund_penalty': -20.0, 'macd_reversal_bonus': 0.0, 'sector_rs_bonus': 0.0, 'confluence_bonus': 0.0, 'short_squeeze_bonus': 0.0, 'ai_momentum_bonus': 0.0}",+0.00%,72.8,BUY,+0.00%,0.5,11.03,2.16,2.3,False,False
329180.KS,HD HYUNDAI HEAVY INDUSTRIES,"532,000원",532000.0,Industrials,Aerospace & Defense,5.14,72.5,70.0,0.69276,False,False,False,55.2,Markup,"{'trend': 60.0, 'momentum': 86.9, 'flow': 99.0, 'volatility': 23, 'structure': 80.0, 'momentum_quality': 89.2, 'insider': 50.0}",2.0,,0.0,Tactical Overweight,매수 우위 (강력 매수 - 다중지표 강세 컨플루언스 확인),True,상승,상단 돌파,골든크로스 진행,11.2,10.0,상승,-421292.8295794246,1.722,0.548,0.17803,0.15303001,1406698127360.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': 'Stoch 골든크로스', 'cls': 'positive'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📈 EPS 반등/턴어라운드', 'cls': 'positive'}, {'text': '🚀 매출 고성장', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 70, 'wyckoff': 80, 'stochastic': 50.677876717218346, 'obv': 75, 'bollinger': 0, 'momentum_quality': 89.2, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(67.4)}","{'base_tech_score': np.float64(67.4), 'insider_bonus': 0.0, 'deviation_penalty': 0.0, 'blowoff_penalty': 0.0, 'short_excessive_penalty': 0.0, 'weekly_penalty': 0.0, 'resistance_penalty': 0.0, 'rr_penalty': 0.0, 'cmf_confluence_val': 0.0, 'penny_penalty': 0.0, 'penny_non_acc_penalty': 0.0, 'scalping_bonus': 10.0, 'fund_penalty': -25.0, 'macd_reversal_bonus': 0.0, 'sector_rs_bonus': 0.0, 'confluence_bonus': 0.0, 'short_squeeze_bonus': 0.0, 'ai_momentum_bonus': 0.0}",+0.00%,72.5,BUY,+0.00%,0.5,4.74,1.01,1.08,False,False
034020.KS,Doosan Enerbility,"79,600원",79600.0,Industrials,Specialty Industrial Machinery,3.24,72.2,67.7,0.30894,False,False,False,55.4,Markup,"{'trend': 60.0, 'momentum': 95.4, 'flow': 93.0, 'volatility': 23, 'structure': 80.0, 'momentum_quality': 94.7, 'insider': 50.0}",2.0,,0.0,Tactical Overweight,매수 우위 (강력 매수 - 다중지표 강세 컨플루언스 확인),True,상승,상단,골든크로스 진행,13.1,10.0,상승,-44978790.90501484,,0.137,0.16447,0.054640003,119446126592.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'Stoch 골든크로스', 'cls': 'positive'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 68, 'wyckoff': 80, 'stochastic': 50.49747041259593, 'obv': 75, 'bollinger': 0, 'momentum_quality': 94.7, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(67.4)}","{'base_tech_score': np.float64(67.4), 'insider_bonus': 0.0, 'deviation_penalty': 0.0, 'blowoff_penalty': 0.0, 'short_excessive_penalty': 0.0, 'weekly_penalty': 0.0, 'resistance_penalty': 0.0, 'rr_penalty': 0.0, 'cmf_confluence_val': 0.0, 'penny_penalty': 0.0, 'penny_non_acc_penalty': 0.0, 'scalping_bonus': 10.0, 'fund_penalty': -3.0, 'macd_reversal_bonus': 0.0, 'sector_rs_bonus': 0.0, 'confluence_bonus': 0.0, 'short_squeeze_bonus': 0.0, 'ai_momentum_bonus': 0.0}",+0.00%,72.2,BUY,+0.00%,0.5,2.98,0.51,0.54,False,False
006400.KS,"SAMSUNG SDI CO.,LTD.","482,500원",482500.0,Industrials,Electrical Equipment & Parts,5.12,72.0,66.1,0.22959,False,False,False,57.9,Markup,"{'trend': 60.0, 'momentum': 97.8, 'flow': 81.0, 'volatility': 23, 'structure': 80.0, 'momentum_quality': 77.6, 'insider': 50.0}",2.0,,0.0,Tactical Overweight,매수 우위 (강력 매수 - 다중지표 강세 컨플루언스 확인),True,상승,상단,골든크로스 진행,14.5,10.0,상승,-474526.0137829348,1.048,0.186,0.17543,0.054130003,,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'Stoch 골든크로스', 'cls': 'positive'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📈 EPS 반등/턴어라운드', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 66, 'wyckoff': 80, 'stochastic': 75.56519269837459, 'obv': 75, 'bollinger': 0, 'momentum_quality': 77.6, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(67.2)}","{'base_tech_score': np.float64(67.2), 'insider_bonus': 0.0, 'deviation_penalty': 0.0, 'blowoff_penalty': 0.0, 'short_excessive_penalty': 0.0, 'weekly_penalty': 0.0, 'resistance_penalty': 0.0, 'rr_penalty': 0.0, 'cmf_confluence_val': 0.0, 'penny_penalty': 0.0, 'penny_non_acc_penalty': 0.0, 'scalping_bonus': 10.0, 'fund_penalty': -18.0, 'macd_reversal_bonus': 0.0, 'sector_rs_bonus': 0.0, 'confluence_bonus': 0.0, 'short_squeeze_bonus': 0.0, 'ai_momentum_bonus': 0.0}",+0.00%,72.0,BUY,+0.00%,0.5,5.01,0.61,0.65,False,False
012450.KS,HANWHA AEROSPACE,"1,159,000원",1159000.0,Industrials,Aerospace & Defense,5.65,71.8,68.1,0.36861,False,False,False,64.2,Markup,"{'trend': 73.0, 'momentum': 100, 'flow': 69.0, 'volatility': 3, 'structure': 80.0, 'momentum_quality': 98.2, 'insider': 50.0}",2.0,,0.0,Tactical Overweight,매수 우위 (강력 매수 - 다중지표 강세 컨플루언스 확인),True,상승,상단 돌파,골든크로스 진행,22.7,10.0,상승,-3268861.2992962124,3.381,0.049,0.20881,0.111090004,-808671772672.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'Stoch 골든크로스', 'cls': 'positive'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📈 EPS 반등/턴어라운드', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 68, 'wyckoff': 80, 'stochastic': 62.030689682551206, 'obv': 75, 'bollinger': 0, 'momentum_quality': 98.2, 'regime_score': 50, 'rr_score': 91.2, 'base_tech': np.float64(69.4)}","{'base_tech_score': np.float64(69.4), 'insider_bonus': 0.0, 'deviation_penalty': 0.0, 'blowoff_penalty': 0.0, 'short_excessive_penalty': 0.0, 'weekly_penalty': 0.0, 'resistance_penalty': 0.0, 'rr_penalty': 0.0, 'cmf_confluence_val': 0.0, 'penny_penalty': 0.0, 'penny_non_acc_penalty': 0.0, 'scalping_bonus': 10.0, 'fund_penalty': -10.0, 'macd_reversal_bonus': 0.0, 'sector_rs_bonus': 0.0, 'confluence_bonus': 0.0, 'short_squeeze_bonus': 0.0, 'ai_momentum_bonus': 0.0}",+0.00%,71.8,BUY,+0.00%,0.5,5.83,0.66,0.7,False,False
042660.KS,Hanwha Ocean,"93,900원",93900.0,Industrials,Aerospace & Defense,5.03,71.6,68.3,0.38009,False,False,False,53.2,Markup,"{'trend': 60.0, 'momentum': 84.8, 'flow': 97.0, 'volatility': 23, 'structure': 80.0, 'momentum_quality': 70.2, 'insider': 50.0}",2.0,,0.0,Tactical Overweight,매수 우위 (강력 매수 - 다중지표 강세 컨플루언스 확인),True,상승,상단,골든크로스 진행,10.7,10.0,상승,-35577387.05973603,1.318,0.021,0.15908,0.13741,-49345204224.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': '🔥 Accumulation Confluence (CMF+ADL)', 'cls': 'positive'}, {'text': 'Stoch 골든크로스', 'cls': 'positive'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📈 EPS 반등/턴어라운드', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 68, 'wyckoff': 80, 'stochastic': 51.107855888133, 'obv': 75, 'bollinger': 0, 'momentum_quality': 70.2, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(64.0)}","{'base_tech_score': np.float64(64.0), 'insider_bonus': 0.0, 'deviation_penalty': 0.0, 'blowoff_penalty': 0.0, 'short_excessive_penalty': 0.0, 'weekly_penalty': 0.0, 'resistance_penalty': 0.0, 'rr_penalty': 0.0, 'cmf_confluence_val': 0.0, 'penny_penalty': 0.0, 'penny_non_acc_penalty': 0.0, 'scalping_bonus': 10.0, 'fund_penalty': -10.0, 'macd_reversal_bonus': 0.0, 'sector_rs_bonus': 0.0, 'confluence_bonus': 0.0, 'short_squeeze_bonus': 0.0, 'ai_momentum_bonus': 0.0}",+0.00%,71.6,BUY,+0.00%,0.5,4.81,0.41,0.44,False,False
